concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
		"ICDO3"		"X"	"8100/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8101/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8102/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8103/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8110/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8344/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8345/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8346/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8347/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8350/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8360/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8120/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8120/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8120/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8120/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8121/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8121/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8121/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8122/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8123/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8124/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8130/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8130/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8130/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8131/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8140/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8140/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8140/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8140/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8140/6"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8141/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8142/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8143/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8144/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8145/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8146/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8147/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8147/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8148/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8149/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8150/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8150/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8150/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8151/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8151/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8152/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8152/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8153/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8153/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8154/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8155/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8155/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8156/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8156/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8157/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8157/3"	"2015-09-18"		"X"
