"concept_code_1","concept_code_2","relationship_id"
"104-2830","104","item of schema"
"104-2840","104","item of schema"
"104-820","104","item of schema"
"104-830","104","item of schema"
"104-2850","104","item of schema"
"104-2860","104","item of schema"
"104-2920","104","item of schema"
"104-2930","104","item of schema"
"104-2861","104","item of schema"
"104-2862","104","item of schema"
"104-2863","104","item of schema"
"104-2864","104","item of schema"
"57-400","57","item of schema"
"57-522","57","item of schema"
"57-390","57","item of schema"
"57-2935","57","item of schema"
"57-523","57","item of schema"
"57-440","57","item of schema"
"57-230","57","item of schema"
"57-1182","57","item of schema"
"57-2800","57","item of schema"
"57-2810","57","item of schema"
"57-2820","57","item of schema"
"57-2830","57","item of schema"
"57-2840","57","item of schema"
"57-820","57","item of schema"
"57-830","57","item of schema"
"57-2850","57","item of schema"
"57-2860","57","item of schema"
"57-2880","57","item of schema"
"57-2890","57","item of schema"
"57-2865","57","item of schema"
"57-2866","57","item of schema"
"57-2867","57","item of schema"
"57-2868","57","item of schema"
"57-2869","57","item of schema"
"48-400","48","item of schema"
"48-522","48","item of schema"
"48-390","48","item of schema"
"48-2935","48","item of schema"
"48-523","48","item of schema"
"48-440","48","item of schema"
"48-230","48","item of schema"
"48-1182","48","item of schema"
"48-2800","48","item of schema"
"48-2810","48","item of schema"
"48-2820","48","item of schema"
"48-2830","48","item of schema"
"48-2840","48","item of schema"
"48-820","48","item of schema"
"48-830","48","item of schema"
"48-2850","48","item of schema"
"48-2860","48","item of schema"
"48-2930","48","item of schema"
"48-2861","48","item of schema"
"48-2862","48","item of schema"
"48-2863","48","item of schema"
"48-2864","48","item of schema"
"45-400","45","item of schema"
"45-522","45","item of schema"
"45-390","45","item of schema"
"45-2935","45","item of schema"
"45-523","45","item of schema"
"45-440","45","item of schema"
"45-230","45","item of schema"
"45-1182","45","item of schema"
"45-2800","45","item of schema"
"45-2810","45","item of schema"
"45-2820","45","item of schema"
"45-2830","45","item of schema"
"45-2840","45","item of schema"
"45-820","45","item of schema"
"45-830","45","item of schema"
"45-2850","45","item of schema"
"45-2860","45","item of schema"
"45-2880","45","item of schema"
"45-2930","45","item of schema"
"45-2861","45","item of schema"
"45-2862","45","item of schema"
"45-2863","45","item of schema"
"45-2864","45","item of schema"
"13-400","13","item of schema"
"13-522","13","item of schema"
"13-390","13","item of schema"
"13-2935","13","item of schema"
"13-523","13","item of schema"
"13-440","13","item of schema"
"13-230","13","item of schema"
"13-1182","13","item of schema"
"13-2800","13","item of schema"
"13-2810","13","item of schema"
"13-2820","13","item of schema"
"13-2830","13","item of schema"
"13-2840","13","item of schema"
"13-820","13","item of schema"
"13-830","13","item of schema"
"13-2850","13","item of schema"
"13-2860","13","item of schema"
"13-2880","13","item of schema"
"13-2890","13","item of schema"
"13-2900","13","item of schema"
"13-2910","13","item of schema"
"13-2920","13","item of schema"
"13-2930","13","item of schema"
"13-2861","13","item of schema"
"13-2862","13","item of schema"
"13-2863","13","item of schema"
"13-2864","13","item of schema"
"13-2865","13","item of schema"
"15-400","15","item of schema"
"15-522","15","item of schema"
"15-390","15","item of schema"
"15-2935","15","item of schema"
"15-523","15","item of schema"
"15-440","15","item of schema"
"15-230","15","item of schema"
"15-1182","15","item of schema"
"15-2800","15","item of schema"
"15-2810","15","item of schema"
"15-2820","15","item of schema"
"15-2830","15","item of schema"
"15-2840","15","item of schema"
"15-820","15","item of schema"
"15-830","15","item of schema"
"15-2850","15","item of schema"
"15-2860","15","item of schema"
"15-2880","15","item of schema"
"15-2890","15","item of schema"
"15-2900","15","item of schema"
"15-2910","15","item of schema"
"15-2920","15","item of schema"
"15-2930","15","item of schema"
"15-2861","15","item of schema"
"15-2862","15","item of schema"
"15-2863","15","item of schema"
"15-2864","15","item of schema"
"15-2865","15","item of schema"
"11-400","11","item of schema"
"11-522","11","item of schema"
"11-390","11","item of schema"
"11-2935","11","item of schema"
"11-523","11","item of schema"
"11-440","11","item of schema"
"11-230","11","item of schema"
"11-1182","11","item of schema"
"11-2800","11","item of schema"
"11-2810","11","item of schema"
"11-2820","11","item of schema"
"11-2830","11","item of schema"
"11-2840","11","item of schema"
"11-820","11","item of schema"
"11-830","11","item of schema"
"11-2850","11","item of schema"
"11-2860","11","item of schema"
"11-2880","11","item of schema"
"11-2890","11","item of schema"
"11-2900","11","item of schema"
"11-2910","11","item of schema"
"11-2920","11","item of schema"
"11-2930","11","item of schema"
"11-2861","11","item of schema"
"11-2862","11","item of schema"
"11-2863","11","item of schema"
"11-2864","11","item of schema"
"11-2865","11","item of schema"
"92-400","92","item of schema"
"92-522","92","item of schema"
"92-390","92","item of schema"
"92-2935","92","item of schema"
"92-523","92","item of schema"
"92-440","92","item of schema"
"92-230","92","item of schema"
"92-1182","92","item of schema"
"92-2800","92","item of schema"
"92-2810","92","item of schema"
"92-2820","92","item of schema"
"92-2830","92","item of schema"
"92-2840","92","item of schema"
"92-820","92","item of schema"
